system:index,blue,green,landcover,latitude,longitude,ndvi,ndwi,nir,red,swir1,swir2,.geo
3_24_0,13357,17016,3,30.55435284299308,30.044199593141606,0.06993655,-0.15168133,23101,20081,25846,23651,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,9072,9529,4,29.354832444108283,32.65694959700323,0.015064935,-0.012487694,9770,9480,10078,9798,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_1_0,8014,8681,4,31.058846706554604,30.726020893788323,0.029633466,-0.01508963,8947,8432,8318,7995,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_2_0,8802,9325,4,29.562882263910364,32.5604705354888,0.01335888,-0.010347572,9520,9269,9997,9736,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_3_0,7740,7600,4,29.781442372536645,32.54834327915319,-0.0045643155,0.02723525,7197,7263,7420,7437,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_4_0,7823,7917,4,30.315580640474113,32.376136239187474,-0.009710075,0.048123386,7190,7331,7359,7408,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_5_0,7826,8304,4,29.896786055017593,32.506302123856386,-0.019966159,0.068450846,7240,7535,7425,7457,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,9563,10197,4,29.99434309487297,32.58391656440432,-0.030771915,0.10071243,8331,8860,8146,8021,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,8719,9078,4,30.963984612551585,31.2504573566573,-0.01661871,0.040398832,8373,8656,8004,7868,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,8359,8951,4,30.70473082155469,30.773990929960306,0.024868457,-0.016535737,9252,8803,8591,8181,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,8726,10506,4,30.203470893015997,32.53783299032899,-0.107458465,0.16210386,7575,9399,7721,7687,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,8154,9628,4,30.245781542898026,32.44943876637162,-0.018483443,0.12332283,7514,7797,7942,7957,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,9062,9775,4,30.381876308442134,32.32574075174836,-0.01402214,0.05910396,8684,8931,8917,8795,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_12_0,7760,8458,4,30.724673420862143,32.342718910618224,-0.021105925,0.06376556,7444,7765,7613,7572,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_13_0,9635,10228,4,30.913050135942008,32.3146914737537,-0.028770225,0.0753864,8794,9315,8788,8594,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_14_0,8233,8933,4,31.252074324168714,32.307415119952324,-0.022166004,0.047859237,8117,8485,8186,8053,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_15_0,8390,9077,4,31.194132988343004,32.34137143769205,-0.02461871,0.055526484,8122,8532,8216,8113,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_16_0,8102,8694,4,29.652893455379143,31.2933069957098,-0.008934035,0.03549309,8098,8244,7770,7648,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_17_0,8098,8655,4,30.666732085036433,31.276059342254705,-0.013497689,0.039140355,8003,8222,7615,7510,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_18_0,8536,8967,4,31.185778656200693,31.531809703643532,-0.012814428,0.037426967,8320,8536,8061,7922,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_19_0,8317,8708,4,30.134480279195618,31.188204107467815,-0.019401433,0.041689098,8011,8328,7695,7592,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_20_0,8162,8681,4,30.23311529739194,30.968566020500592,-0.007696933,0.0253957,8251,8379,7829,7688,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_21_0,8117,8651,4,30.280276849808214,31.0903775730272,-0.008198727,0.03258534,8105,8239,7733,7604,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_22_0,8087,8608,4,30.444129557631616,31.138347609199183,-0.013419083,0.038046427,7977,8194,7673,7579,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_23_0,8003,9061,4,30.980693276836206,30.759168727772334,0.13007474,-0.10513061,11190,8614,9287,8334,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_24_0,7579,8480,4,31.374694360451027,30.44790248182492,0.024922308,0.004144464,8410,8001,8131,7877,"{""type"":""MultiPoint"",""coordinates"":[]}"
